Rank,Ticker,Chart,hh,hl,trend_structure,trend_score,current_price,high_6m,low_6m,pct_from_6m_high,RVOL,Velocity %,momentum_score,sector,industry,market_cap,rev_growth_pct,earnings_growth_pct,profit_margin_pct,trailing_pe,forward_pe,analyst_rec,short_ratio,fund_score,rvol_score,composite
65,MHF,https://www.tradingview.com/symbols/MHF/,True,False,UPTREND,6,7.08,7.22,6.53,-1.9,0.97,6.9,1.0,Financial Services,Asset Management,157344672,-0.1,,123.2,18.6,,,1.0,4,2.4,3.6
66,NMI,https://www.tradingview.com/symbols/NMI/,True,False,UPTREND,6,10.77,11.24,9.69,-4.2,0.56,26.9,1.0,Financial Services,Asset Management,130084064,4.6,-19.1,56.8,18.9,,,2.1,5,1.4,3.6
67,CAF,https://www.tradingview.com/symbols/CAF/,True,False,UPTREND,6,21.27,21.41,16.39,-0.7,0.52,30.9,1.0,Financial Services,Asset Management,357715200,,,,5.1,,,0.4,5,1.3,3.6
68,PSFE,https://www.tradingview.com/symbols/PSFE/,True,False,UPTREND,6,7.9,10.04,5.95,-21.3,0.74,24.0,1.0,Technology,Software - Infrastructure,408243200,10.4,,-11.4,,3.1,3.0,10.6,4,1.9,3.5
69,DMO,https://www.tradingview.com/symbols/DMO/,True,False,UPTREND,6,10.65,11.09,10.08,-4.0,1.09,5.6,1.0,Financial Services,Asset Management,121698912,-1.5,-24.6,60.0,8.9,,,0.4,3,2.7,3.5
70,KNOP,https://www.tradingview.com/symbols/KNOP/,True,False,UPTREND,6,10.64,11.78,8.73,-9.7,0.74,5.8,1.0,Energy,Oil & Gas Midstream,367644192,6.8,-49.3,5.0,31.3,17.6,,2.3,4,1.9,3.5
71,GLQ,https://www.tradingview.com/symbols/GLQ/,True,False,UPTREND,6,8.5,8.75,7.08,-2.9,0.79,24.9,1.0,Financial Services,Asset Management,159274016,-0.3,,1725.2,2.9,,,1.4,4,2.0,3.5
72,ECF,https://www.tradingview.com/symbols/ECF/,True,False,UPTREND,6,12.81,13.65,10.56,-6.2,0.81,29.6,1.0,Financial Services,Asset Management,174957744,-28.9,-92.3,897.9,4.1,,,0.0,3,2.0,3.4
73,NREF,https://www.tradingview.com/symbols/NREF/,True,False,UPTREND,6,15.94,16.18,12.2,-1.5,0.94,31.7,1.0,Real Estate,REIT - Mortgage,367164160,-4.8,-39.2,66.5,6.2,8.9,3.0,7.5,3,2.3,3.4
74,ASG,https://www.tradingview.com/symbols/ASG/,True,False,UPTREND,6,5.45,5.52,4.45,-1.3,0.67,14.6,1.0,Financial Services,Asset Management,347261312,-24.5,-66.0,865.6,24.8,,,0.1,3,1.7,3.3
75,BCV,https://www.tradingview.com/symbols/BCV/,True,False,UPTREND,6,25.17,26.96,20.84,-6.6,0.71,34.0,1.0,Financial Services,Asset Management,141644480,-29.3,-85.0,984.5,3.8,,,0.0,3,1.8,3.3
76,EGG,https://www.tradingview.com/symbols/EGG/,True,False,UPTREND,6,7.05,13.07,4.54,-46.1,0.31,87.1,1.7,Industrials,Consulting Services,196308672,-40.3,,12.6,352.5,,,0.2,3,1.0,3.3
77,KTF,https://www.tradingview.com/symbols/KTF/,True,False,UPTREND,6,9.24,9.29,8.57,-0.5,0.84,9.0,1.0,Financial Services,Asset Management,361957024,-1.5,3.0,-21.3,,,,0.5,2,2.1,3.2
78,MED,https://www.tradingview.com/symbols/MED/,True,False,UPTREND,6,10.68,13.43,9.22,-20.5,0.73,13.4,1.0,Consumer Cyclical,Personal Services,118752152,-34.3,,-5.8,,-17.8,,12.8,2,1.8,3.1
