Rank,Ticker,Chart,hh,hl,trend_structure,trend_score,current_price,high_6m,low_6m,pct_from_6m_high,RVOL,Velocity %,momentum_score,sector,industry,market_cap,rev_growth_pct,earnings_growth_pct,profit_margin_pct,trailing_pe,forward_pe,analyst_rec,short_ratio,fund_score,rvol_score,composite
389,GNRC,https://www.tradingview.com/symbols/GNRC/,True,False,UPTREND,6,212.22,296.44,180.87,-28.4,1.27,28.3,1.0,Industrials,Specialty Industrial Machinery,12522330112,10.6,92.0,5.8,48.8,18.0,1.76,1.9,7,3.2,4.4
390,CWT,https://www.tradingview.com/symbols/CWT/,True,False,UPTREND,6,50.53,53.82,41.57,-6.1,0.93,25.0,1.0,Utilities,Utilities - Regulated Water,3124729600,16.5,31.4,12.6,22.7,18.3,1.0,3.6,8,2.3,4.4
391,IVT,https://www.tradingview.com/symbols/IVT/,True,True,STRONG UPTREND,8,33.23,37.22,29.48,-10.7,0.76,40.1,1.0,Real Estate,REIT - Retail,2591223296,12.6,-98.6,4.8,174.9,-39.2,1.75,3.6,5,1.9,4.4
392,DEI,https://www.tradingview.com/symbols/DEI/,True,True,STRONG UPTREND,8,11.69,12.97,8.79,-9.9,0.97,64.9,1.3,Real Estate,REIT - Office,2350631936,1.6,,-2.3,,-102.4,2.92,12.5,4,2.4,4.4
393,PNW,https://www.tradingview.com/symbols/PNW/,True,True,STRONG UPTREND,8,101.03,110.16,90.92,-8.3,1.01,16.2,1.0,Utilities,Utilities - Regulated Electric,12244555776,7.1,-9.5,11.5,19.4,18.1,2.59,7.7,4,2.5,4.4
394,PEB,https://www.tradingview.com/symbols/PEB/,True,True,STRONG UPTREND,8,18.18,19.93,11.54,-8.8,0.94,112.7,2.3,Real Estate,REIT - Hotel & Motel,2051480704,-0.1,189.2,-3.1,,-50.0,2.81,4.6,3,2.3,4.4
395,FDX,https://www.tradingview.com/symbols/FDX/,True,True,STRONG UPTREND,8,318.57,344.08,273.95,-7.4,0.65,19.8,1.0,Industrials,Integrated Freight & Logistics,75367669760,12.5,-4.3,4.7,17.2,15.4,1.82,2.6,5,1.6,4.4
396,NSC,https://www.tradingview.com/symbols/NSC/,True,True,STRONG UPTREND,8,334.36,358.6,276.7,-6.8,0.8,23.2,1.0,Industrials,Railroads,75100053504,11.4,-4.4,21.0,28.6,23.4,2.57,7.7,5,2.0,4.4
397,BYD,https://www.tradingview.com/symbols/BYD/,True,True,STRONG UPTREND,8,83.42,91.41,76.5,-8.7,0.77,12.8,1.0,Consumer Cyclical,Resorts & Casinos,6060914688,,-4.9,44.3,3.7,10.7,2.33,4.8,5,1.9,4.4
398,AGX,https://www.tradingview.com/symbols/AGX/,True,False,UPTREND,6,597.33,805.09,352.29,-25.8,0.53,91.6,1.8,Industrials,Engineering & Construction,8374116864,50.2,102.5,15.5,52.4,36.8,2.4,2.7,8,1.3,4.4
399,COLD,https://www.tradingview.com/symbols/COLD/,True,True,STRONG UPTREND,8,14.96,16.88,10.34,-11.4,1.05,67.5,1.3,Real Estate,REIT - Industrial,4288618752,1.9,,-17.5,,598.4,2.53,5.3,4,2.6,4.4
400,ALV,https://www.tradingview.com/symbols/ALV/,True,True,STRONG UPTREND,8,122.86,132.17,98.41,-7.0,0.73,22.2,1.0,Consumer Cyclical,Auto Parts,8997924864,3.3,-37.5,5.8,14.5,10.4,1.94,4.8,5,1.8,4.4
401,SEI,https://www.tradingview.com/symbols/SEI/,True,False,UPTREND,6,57.96,86.19,42.67,-32.8,1.21,45.7,1.0,Energy,Oil & Gas Equipment & Services,5568671744,46.9,-13.3,7.2,73.4,24.8,1.36,5.3,7,3.0,4.4
402,TRNO,https://www.tradingview.com/symbols/TRNO/,True,True,STRONG UPTREND,8,68.76,78.94,58.49,-12.9,0.74,26.2,1.0,Real Estate,REIT - Industrial,7492798976,11.1,-40.2,77.3,18.5,39.5,2.26,5.5,5,1.9,4.4
403,H,https://www.tradingview.com/symbols/H/,True,True,STRONG UPTREND,8,177.71,206.86,137.42,-14.1,1.07,52.8,1.1,Consumer Cyclical,Lodging,16746811392,-6.6,,2.3,222.1,36.5,1.91,5.2,4,2.7,4.4
